,Dokumen1,Dokumen2,Dokumen3,Dokumen4,Dokumen5
eks,0.0,0.0,0.0,0.005708138546059346,0.0
eleanor,0.0,0.02001846666101936,0.0,0.0,0.0
elemen,0.0,0.0,0.0,0.005708138546059346,0.0
embolismik,0.0,0.0,0.0,0.005708138546059346,0.0
enampuluh,0.0,0.0,0.0,0.0,0.021619189821103717
engkau,0.2994908233045776,0.0,0.0,0.0,0.0
epifani,0.0,0.0,0.0,0.005708138546059346,0.0
epifania,0.0,0.0,0.0,0.005708138546059346,0.0
epifanius,0.0,0.0,0.0,0.005708138546059346,0.0
equinox,0.020135609207880545,0.0,0.0,0.013815870712793265,0.0
eropa,0.0,0.0,0.0,0.05137324691453412,0.0
erti,0.0,0.0,0.0312530449088076,0.0,0.017442226222178066
estre,0.0,0.0,0.0,0.005708138546059346,0.0
estreeostre,0.0,0.0,0.0,0.005708138546059346,0.0
etimologi,0.0,0.0,0.0,0.005708138546059346,0.0
exiguus,0.0,0.0,0.0,0.005708138546059346,0.0
exultet,0.0,0.0,0.0,0.005708138546059346,0.0
fajar,0.0,0.0,0.0,0.01712441563817804,0.0
faroe,0.0,0.0,0.0,0.005708138546059346,0.0
favorit,0.0,0.0,0.0,0.005708138546059346,0.0
festa,0.0,0.0,0.0,0.005708138546059346,0.0
festival,0.0,0.0,0.0,0.03424883127635608,0.0
festorum,0.0,0.0,0.0,0.011416277092118692,0.0
festum,0.0,0.0,0.0,0.011416277092118692,0.0
filharmonik,0.0,0.0,0.0,0.005708138546059346,0.0
filipina,0.0,0.01615077285559461,0.0,0.00921058047519551,0.0
finlandia,0.0,0.0,0.0,0.005708138546059346,0.0
florida,0.0,0.0,0.0,0.005708138546059346,0.0
fokus,0.0,0.0,0.038737343603070074,0.0,0.0
formula,0.0,0.0,0.0,0.005708138546059346,0.0
foto,0.0,0.02001846666101936,0.0,0.0,0.0
friday,0.0,0.0,0.0,0.005708138546059346,0.0
gabung,0.0,0.0,0.0,0.005708138546059346,0.0
galia,0.0,0.0,0.0,0.005708138546059346,0.0
gambar,0.0,0.01615077285559461,0.0312530449088076,0.0,0.0
ganda,0.0,0.0,0.0,0.005708138546059346,0.0
ganti,0.0,0.02681320085831135,0.0,0.015291227640385614,0.014478623385176305
gantung,0.0,0.0,0.0,0.005708138546059346,0.0
garam,0.0,0.0,0.0,0.0,0.04323837964220743
garis,0.0,0.02001846666101936,0.0,0.0,0.0
gauss,0.0,0.0,0.0,0.005708138546059346,0.0
gedung,0.020135609207880545,0.0,0.0,0.00921058047519551,0.0
gejah,0.0,0.0,0.0,0.005708138546059346,0.0
gelar,0.0,0.0,0.0,0.011416277092118692,0.0
